Id,choose
10297,0.702
10298,0.407
10299,0.236
10300,0.705
10301,0.239
10302,0.31
10303,0.291
10304,0.293
10305,0.421
10306,0.35
10307,0.616
10308,0.324
10309,0.351
10310,0.668
10311,0.72
10312,0.402
10313,0.515
10314,0.392
10315,0.394
10316,0.726
10317,0.753
10318,0.352
10319,0.455
10320,0.752
10321,0.656
10322,0.39
10323,0.654
10324,0.276
10325,0.744
10326,0.513
10327,0.36
10328,0.271
10329,0.443
10330,0.4
10331,0.367
10332,0.752
10333,0.451
10334,0.723
10335,0.811
10336,0.631
10337,0.56
10338,0.339
10339,0.366
10340,0.529
10341,0.693
10342,0.399
10343,0.414
10344,0.684
10345,0.318
10346,0.432
10347,0.352
10348,0.403
10349,0.76
10350,0.671
10351,0.233
10352,0.382
10353,0.406
10354,0.29
10355,0.606
10356,0.239
10357,0.419
10358,0.538
10359,0.573
10360,0.292
10361,0.415
10362,0.615
10363,0.398
10364,0.741
10365,0.29
10366,0.681
10367,0.238
10368,0.692
10369,0.369
10370,0.743
10371,0.25
10372,0.626
10373,0.681
10374,0.228
10375,0.697
10376,0.384
10377,0.668
10378,0.37
10379,0.348
10380,0.384
10381,0.734
10382,0.307
10383,0.335
10384,0.403
10385,0.555
10386,0.699
10387,0.401
10388,0.443
10389,0.223
10390,0.58
10391,0.675
10392,0.729
10393,0.621
10394,0.367
10395,0.398
10396,0.774
10397,0.48
10398,0.622
10399,0.477
10400,0.355
10401,0.315
10402,0.598
10403,0.236
10404,0.464
10405,0.385
10406,0.745
10407,0.497
10408,0.778
10409,0.476
10410,0.694
10411,0.66
10412,0.476
10413,0.679
10414,0.356
10415,0.752
10416,0.329
10417,0.386
10418,0.37
10419,0.352
10420,0.418
10421,0.459
10422,0.682
10423,0.667
10424,0.701
10425,0.828
10426,0.371
10427,0.49
10428,0.721
10429,0.676
10430,0.357
10431,0.278
10432,0.405
10433,0.579
10434,0.31
10435,0.385
10436,0.708
10437,0.664
10438,0.688
10439,0.396
10440,0.316
10441,0.304
10442,0.397
10443,0.382
10444,0.368
10445,0.338
10446,0.273
10447,0.814
10448,0.826
10449,0.741
10450,0.362
10451,0.562
10452,0.671
10453,0.386
10454,0.325
10455,0.744
10456,0.485
10457,0.414
10458,0.301
10459,0.327
10460,0.355
10461,0.382
10462,0.63
10463,0.74
10464,0.456
10465,0.378
10466,0.694
10467,0.602
10468,0.684
10469,0.309
10470,0.663
10471,0.31
10472,0.59
10473,0.311
10474,0.435
10475,0.365
10476,0.381
10477,0.811
10478,0.38
10479,0.275
10480,0.546
10481,0.663
10482,0.251
10483,0.306
10484,0.696
10485,0.345
10486,0.415
10487,0.734
10488,0.275
10489,0.7
10490,0.698
10491,0.655
10492,0.726
10493,0.489
10494,0.625
10495,0.43
10496,0.396
10497,0.407
10498,0.685
10499,0.455
10500,0.444
10501,0.329
10502,0.459
10503,0.829
10504,0.585
10505,0.693
10506,0.523
10507,0.701
10508,0.812
10509,0.636
10510,0.29
10511,0.721
10512,0.67
10513,0.729
10514,0.731
10515,0.291
10516,0.387
10517,0.269
10518,0.416
10519,0.284
10520,0.422
10521,0.292
10522,0.367
10523,0.535
10524,0.441
10525,0.504
10526,0.205
10527,0.277
10528,0.774
10529,0.661
10530,0.439
10531,0.685
10532,0.345
10533,0.367
10534,0.334
10535,0.705
10536,0.247
10537,0.502
10538,0.356
10539,0.416
10540,0.644
10541,0.29
10542,0.607
10543,0.395
10544,0.549
10545,0.294
10546,0.609
10547,0.603
10548,0.728
10549,0.356
10550,0.748
10551,0.616
10552,0.546
10553,0.674
10554,0.494
10555,0.598
10556,0.489
10557,0.334
10558,0.324
10559,0.326
10560,0.492
10561,0.754
10562,0.723
10563,0.39
10564,0.735
10565,0.293
10566,0.351
10567,0.29
10568,0.765
10569,0.306
10570,0.675
10571,0.24
10572,0.357
10573,0.497
10574,0.359
10575,0.658
10576,0.52
10577,0.533
10578,0.43
10579,0.295
10580,0.255
10581,0.636
10582,0.379
10583,0.608
10584,0.405
10585,0.648
10586,0.439
10587,0.229
10588,0.316
10589,0.592
10590,0.337
10591,0.729
10592,0.425
10593,0.425
10594,0.427
10595,0.278
10596,0.45
10597,0.661
10598,0.361
10599,0.412
10600,0.412
10601,0.462
10602,0.385
10603,0.241
10604,0.825
10605,0.251
10606,0.222
10607,0.334
10608,0.479
10609,0.299
10610,0.427
10611,0.659
10612,0.388
10613,0.423
10614,0.617
10615,0.282
10616,0.707
10617,0.653
10618,0.33
10619,0.609
10620,0.427
10621,0.636
10622,0.369
10623,0.374
10624,0.414
10625,0.355
10626,0.312
10627,0.378
10628,0.687
10629,0.282
10630,0.53
10631,0.388
10632,0.658
10633,0.631
10634,0.323
10635,0.347
10636,0.328
10637,0.832
10638,0.266
10639,0.716
10640,0.378
10641,0.719
10642,0.706
10643,0.316
10644,0.523
10645,0.295
10646,0.653
10647,0.411
10648,0.308
10649,0.656
10650,0.453
10651,0.726
10652,0.516
10653,0.222
10654,0.769
10655,0.403
10656,0.596
10657,0.35
10658,0.326
10659,0.73
10660,0.357
10661,0.563
10662,0.677
10663,0.589
10664,0.343
10665,0.215
10666,0.668
10667,0.624
10668,0.431
10669,0.432
10670,0.374
10671,0.737
10672,0.694
10673,0.262
10674,0.742
10675,0.643
10676,0.679
10677,0.427
10678,0.416
10679,0.743
10680,0.703
10681,0.322
10682,0.373
10683,0.724
10684,0.692
10685,0.603
10686,0.378
10687,0.298
10688,0.574
10689,0.367
10690,0.201
10691,0.402
10692,0.403
10693,0.411
10694,0.661
10695,0.205
10696,0.622
10697,0.752
10698,0.808
10699,0.703
10700,0.391
10701,0.674
10702,0.517
10703,0.407
10704,0.286
10705,0.54
10706,0.633
10707,0.353
10708,0.732
10709,0.479
10710,0.213
10711,0.32
10712,0.536
10713,0.308
10714,0.477
10715,0.675
10716,0.388
10717,0.294
10718,0.71
10719,0.688
10720,0.398
10721,0.199
10722,0.284
10723,0.649
10724,0.545
10725,0.363
10726,0.548
10727,0.706
10728,0.22
10729,0.333
10730,0.389
10731,0.76
10732,0.269
10733,0.683
10734,0.586
10735,0.778
10736,0.299
10737,0.709
10738,0.788
10739,0.63
10740,0.299
10741,0.332
10742,0.299
10743,0.774
10744,0.479
10745,0.713
10746,0.694
10747,0.417
10748,0.393
10749,0.711
10750,0.401
10751,0.39
10752,0.8
10753,0.638
10754,0.4
10755,0.376
10756,0.441
10757,0.264
10758,0.789
10759,0.73
10760,0.756
10761,0.355
10762,0.707
10763,0.674
10764,0.393
10765,0.26
10766,0.359
10767,0.654
10768,0.664
10769,0.313
10770,0.629
10771,0.734
10772,0.439
10773,0.463
10774,0.293
10775,0.513
10776,0.49
10777,0.714
10778,0.324
10779,0.622
10780,0.635
10781,0.747
10782,0.731
10783,0.756
10784,0.317
10785,0.54
10786,0.347
10787,0.451
10788,0.614
10789,0.28
10790,0.47
10791,0.458
10792,0.466
10793,0.74
10794,0.608
10795,0.539
10796,0.337
10797,0.399
10798,0.84
10799,0.433
10800,0.713
10801,0.746
10802,0.77
10803,0.228
10804,0.632
10805,0.348
10806,0.324
10807,0.399
10808,0.329
10809,0.706
10810,0.361
10811,0.259
10812,0.363
10813,0.579
10814,0.26
10815,0.716
10816,0.323
10817,0.276
10818,0.306
10819,0.347
10820,0.753
10821,0.583
10822,0.3
10823,0.733
10824,0.797
10825,0.476
10826,0.333
10827,0.777
10828,0.323
10829,0.683
10830,0.404
10831,0.695
10832,0.316
10833,0.282
10834,0.393
10835,0.527
10836,0.387
10837,0.294
10838,0.645
10839,0.8
10840,0.317
10841,0.689
10842,0.492
10843,0.563
10844,0.322
10845,0.475
10846,0.75
10847,0.597
10848,0.293
10849,0.393
10850,0.718
10851,0.343
10852,0.698
10853,0.374
10854,0.737
10855,0.547
10856,0.419
10857,0.407
10858,0.758
10859,0.275
10860,0.433
10861,0.41
10862,0.546
10863,0.345
10864,0.503
10865,0.553
10866,0.738
10867,0.657
10868,0.417
10869,0.429
10870,0.626
10871,0.223
10872,0.474
10873,0.314
10874,0.366
10875,0.407
10876,0.531
10877,0.29
10878,0.28
10879,0.689
10880,0.411
10881,0.252
10882,0.664
10883,0.332
10884,0.345
10885,0.372
10886,0.326
10887,0.489
10888,0.827
10889,0.777
10890,0.823
10891,0.664
10892,0.631
10893,0.293
10894,0.589
10895,0.424
10896,0.752
10897,0.642
10898,0.391
10899,0.484
10900,0.33
10901,0.691
10902,0.313
10903,0.647
10904,0.643
10905,0.282
10906,0.831
10907,0.682
10908,0.341
10909,0.758
10910,0.46
10911,0.738
10912,0.278
10913,0.48
10914,0.73
10915,0.714
10916,0.647
10917,0.613
10918,0.452
10919,0.275
10920,0.467
10921,0.309
10922,0.483
10923,0.361
10924,0.269
10925,0.361
10926,0.441
10927,0.736
10928,0.742
10929,0.323
10930,0.529
10931,0.307
10932,0.338
10933,0.31
10934,0.522
10935,0.567
10936,0.355
10937,0.675
10938,0.434
10939,0.319
10940,0.55
10941,0.732
10942,0.645
10943,0.784
10944,0.263
10945,0.552
10946,0.417
10947,0.721
10948,0.388
10949,0.217
10950,0.623
10951,0.362
10952,0.31
10953,0.527
10954,0.626
10955,0.808
10956,0.309
10957,0.466
10958,0.509
10959,0.434
10960,0.335
10961,0.556
10962,0.401
10963,0.576
10964,0.646
10965,0.254
10966,0.446
10967,0.449
10968,0.514
10969,0.825
10970,0.639
10971,0.812
10972,0.354
10973,0.306
10974,0.546
10975,0.414
10976,0.37
10977,0.777
10978,0.725
10979,0.68
10980,0.66
10981,0.339
10982,0.415
10983,0.5
10984,0.274
10985,0.308
10986,0.771
10987,0.859
10988,0.606
10989,0.322
10990,0.863
10991,0.338
10992,0.467
10993,0.584
10994,0.292
10995,0.43
10996,0.278
10997,0.667
10998,0.374
10999,0.286
11000,0.396
11001,0.778
11002,0.228
11003,0.301
11004,0.651
11005,0.515
11006,0.535
11007,0.796
11008,0.342
11009,0.257
11010,0.328
11011,0.282
11012,0.678
11013,0.318
11014,0.236
11015,0.57
11016,0.789
11017,0.631
11018,0.379
11019,0.294
11020,0.378
11021,0.764
11022,0.354
11023,0.542
11024,0.556
11025,0.386
11026,0.39
11027,0.524
11028,0.29
11029,0.703
11030,0.669
11031,0.796
11032,0.299
11033,0.761
11034,0.773
11035,0.566
11036,0.472
11037,0.703
11038,0.3
11039,0.696
11040,0.768
11041,0.564
11042,0.621
11043,0.336
11044,0.325
11045,0.36
11046,0.365
11047,0.411
11048,0.659
11049,0.289
11050,0.771
11051,0.369
11052,0.493
11053,0.613
11054,0.244
11055,0.512
11056,0.455
11057,0.433
11058,0.618
11059,0.662
11060,0.43
11061,0.188
11062,0.286
11063,0.672
11064,0.705
11065,0.327
11066,0.354
11067,0.415
11068,0.591
11069,0.681
11070,0.301
11071,0.316
11072,0.394
11073,0.31
11074,0.391
11075,0.676
11076,0.408
11077,0.618
11078,0.482
11079,0.504
11080,0.326
11081,0.589
11082,0.427
11083,0.298
11084,0.72
11085,0.894
11086,0.281
11087,0.687
11088,0.354
11089,0.769
11090,0.714
11091,0.345
11092,0.324
11093,0.772
11094,0.401
11095,0.202
11096,0.324
11097,0.661
11098,0.772
11099,0.506
11100,0.355
11101,0.411
11102,0.523
11103,0.264
11104,0.329
11105,0.395
11106,0.343
11107,0.407
11108,0.314
11109,0.277
11110,0.536
11111,0.77
11112,0.803
11113,0.207
11114,0.774
11115,0.49
11116,0.44
11117,0.767
11118,0.332
11119,0.333
11120,0.309
11121,0.382
11122,0.545
11123,0.345
11124,0.344
11125,0.688
11126,0.394
11127,0.414
11128,0.35
11129,0.38
11130,0.32
11131,0.347
11132,0.727
11133,0.348
11134,0.758
11135,0.35
11136,0.324
11137,0.579
11138,0.609
11139,0.746
11140,0.503
11141,0.432
11142,0.452
11143,0.404
11144,0.377
11145,0.174
11146,0.5
11147,0.237
11148,0.356
11149,0.315
11150,0.476
11151,0.697
11152,0.817
11153,0.173
11154,0.78
11155,0.503
11156,0.648
11157,0.686
11158,0.389
11159,0.306
11160,0.436
11161,0.73
11162,0.703
11163,0.369
11164,0.368
11165,0.594
11166,0.295
11167,0.591
11168,0.312
11169,0.696
11170,0.23
11171,0.384
11172,0.338
11173,0.726
11174,0.379
11175,0.596
11176,0.753
11177,0.777
11178,0.333
11179,0.34
11180,0.717
11181,0.525
11182,0.592
11183,0.486
11184,0.327
11185,0.413
11186,0.784
11187,0.245
11188,0.374
11189,0.443
11190,0.356
11191,0.783
11192,0.452
11193,0.731
11194,0.312
11195,0.801
11196,0.421
11197,0.391
11198,0.793
11199,0.365
11200,0.771
11201,0.65
11202,0.408
11203,0.307
11204,0.274
11205,0.301
11206,0.648
11207,0.746
11208,0.723
11209,0.439
11210,0.446
11211,0.67
11212,0.188
11213,0.43
11214,0.342
11215,0.369
11216,0.329
11217,0.208
11218,0.228
11219,0.768
11220,0.481
11221,0.736
11222,0.793
11223,0.289
11224,0.492
11225,0.49
11226,0.384
11227,0.719
11228,0.314
11229,0.318
11230,0.512
11231,0.752
11232,0.825
11233,0.204
11234,0.315
11235,0.419
11236,0.418
11237,0.266
11238,0.453
11239,0.33
11240,0.694
11241,0.48
11242,0.329
11243,0.651
11244,0.496
11245,0.364
11246,0.495
11247,0.236
11248,0.672
11249,0.315
11250,0.412
11251,0.741
11252,0.368
11253,0.414
11254,0.364
11255,0.353
11256,0.293
11257,0.737
11258,0.748
11259,0.374
11260,0.349
11261,0.379
11262,0.315
11263,0.305
11264,0.602
11265,0.304
11266,0.632
11267,0.678
11268,0.398
11269,0.332
11270,0.559
11271,0.38
11272,0.313
11273,0.4
11274,0.464
11275,0.699
11276,0.575
11277,0.694
11278,0.372
11279,0.251
11280,0.694
11281,0.408
11282,0.365
11283,0.481
11284,0.428
11285,0.695
11286,0.751
11287,0.764
11288,0.35
11289,0.38
11290,0.744
11291,0.63
11292,0.315
11293,0.55
11294,0.748
11295,0.681
11296,0.361
11297,0.689
11298,0.528
11299,0.403
11300,0.479
11301,0.641
11302,0.577
11303,0.804
11304,0.495
11305,0.427
11306,0.369
11307,0.659
11308,0.355
11309,0.299
11310,0.228
11311,0.403
11312,0.613
11313,0.391
11314,0.848
11315,0.355
11316,0.41
11317,0.429
11318,0.818
11319,0.417
11320,0.307
11321,0.397
11322,0.711
11323,0.705
11324,0.302
11325,0.29
11326,0.369
11327,0.372
11328,0.781
11329,0.284
11330,0.723
11331,0.496
11332,0.808
11333,0.626
11334,0.55
11335,0.329
11336,0.82
11337,0.406
11338,0.364
11339,0.335
11340,0.261
11341,0.479
11342,0.449
11343,0.697
11344,0.651
11345,0.531
11346,0.307
11347,0.755
11348,0.664
11349,0.43
11350,0.538
11351,0.294
11352,0.394
11353,0.406
11354,0.347
11355,0.37
11356,0.35
11357,0.681
11358,0.453
11359,0.313
11360,0.439
11361,0.327
11362,0.702
11363,0.701
11364,0.527
11365,0.727
11366,0.306
11367,0.369
11368,0.625
11369,0.523
11370,0.254
11371,0.299
11372,0.319
11373,0.264
11374,0.53
11375,0.69
11376,0.334
11377,0.365
11378,0.753
11379,0.608
11380,0.573
11381,0.572
11382,0.391
11383,0.452
11384,0.273
11385,0.735
11386,0.67
11387,0.358
11388,0.268
11389,0.697
11390,0.734
11391,0.382
11392,0.258
11393,0.793
11394,0.359
11395,0.673
11396,0.791
11397,0.356
11398,0.345
11399,0.685
11400,0.311
11401,0.266
11402,0.292
11403,0.718
11404,0.671
11405,0.3
11406,0.239
11407,0.334
11408,0.404
11409,0.34
11410,0.49
11411,0.251
11412,0.48
11413,0.318
11414,0.372
11415,0.746
11416,0.847
11417,0.734
11418,0.236
11419,0.401
11420,0.415
11421,0.639
11422,0.771
11423,0.261
11424,0.383
11425,0.439
11426,0.415
11427,0.775
11428,0.413
11429,0.31
11430,0.303
11431,0.635
11432,0.766
11433,0.231
11434,0.677
11435,0.25
11436,0.68
11437,0.37
11438,0.43
11439,0.435
11440,0.436
11441,0.383
11442,0.317
11443,0.471
11444,0.65
11445,0.38
11446,0.412
11447,0.396
11448,0.596
11449,0.428
11450,0.63
11451,0.567
11452,0.575
11453,0.798
11454,0.498
11455,0.391
11456,0.577
11457,0.346
11458,0.674
11459,0.519
11460,0.563
11461,0.365
11462,0.699
11463,0.345
11464,0.291
11465,0.806
11466,0.378
11467,0.487
11468,0.336
11469,0.321
11470,0.321
11471,0.803
11472,0.331
11473,0.663
11474,0.705
11475,0.466
11476,0.722
11477,0.701
11478,0.24
11479,0.626
11480,0.702
11481,0.783
11482,0.697
11483,0.355
11484,0.197
11485,0.51
11486,0.442
11487,0.377
11488,0.758
11489,0.674
11490,0.365
11491,0.382
11492,0.715
11493,0.271
11494,0.296
11495,0.321
11496,0.713
11497,0.326
11498,0.614
11499,0.376
11500,0.265
11501,0.672
11502,0.315
11503,0.338
11504,0.77
11505,0.317
11506,0.633
11507,0.689
11508,0.387
11509,0.781
11510,0.707
11511,0.403
11512,0.366
11513,0.798
11514,0.231
11515,0.303
11516,0.739
11517,0.609
11518,0.681
11519,0.54
11520,0.481
11521,0.723
11522,0.535
11523,0.617
11524,0.676
11525,0.4
11526,0.455
11527,0.466
11528,0.399
11529,0.216
11530,0.25
11531,0.52
11532,0.477
11533,0.326
11534,0.78
11535,0.627
11536,0.307
11537,0.444
11538,0.328
11539,0.408
11540,0.68
11541,0.444
11542,0.315
11543,0.337
11544,0.517
11545,0.541
11546,0.354
11547,0.598
11548,0.266
11549,0.767
11550,0.404
11551,0.668
11552,0.376
11553,0.835
11554,0.326
11555,0.445
11556,0.319
11557,0.678
11558,0.266
11559,0.452
11560,0.414
11561,0.392
11562,0.251
11563,0.411
11564,0.322
11565,0.364
11566,0.341
11567,0.307
11568,0.368
11569,0.316
11570,0.37
11571,0.387
11572,0.621
11573,0.781
11574,0.33
11575,0.301
11576,0.429
11577,0.258
11578,0.726
11579,0.775
11580,0.427
11581,0.251
11582,0.235
11583,0.544
11584,0.316
11585,0.64
11586,0.697
11587,0.507
11588,0.735
11589,0.324
11590,0.431
11591,0.284
11592,0.278
11593,0.257
11594,0.236
11595,0.631
11596,0.625
11597,0.31
11598,0.762
11599,0.613
11600,0.427
11601,0.244
11602,0.425
11603,0.442
11604,0.465
11605,0.695
11606,0.412
11607,0.331
11608,0.242
11609,0.713
11610,0.601
11611,0.496
11612,0.245
11613,0.328
11614,0.212
11615,0.345
11616,0.384
11617,0.714
11618,0.629
11619,0.793
11620,0.52
11621,0.634
11622,0.379
11623,0.378
11624,0.68
11625,0.542
11626,0.503
11627,0.265
11628,0.312
11629,0.795
11630,0.72
11631,0.45
11632,0.252
11633,0.301
11634,0.697
11635,0.292
11636,0.684
11637,0.282
11638,0.553
11639,0.37
11640,0.513
11641,0.69
11642,0.708
11643,0.747
11644,0.31
11645,0.282
11646,0.564
11647,0.436
11648,0.614
11649,0.597
11650,0.259
11651,0.679
11652,0.294
11653,0.298
11654,0.393
11655,0.72
11656,0.697
11657,0.451
11658,0.262
11659,0.315
11660,0.803
11661,0.39
11662,0.643
11663,0.383
11664,0.428
11665,0.62
11666,0.32
11667,0.334
11668,0.369
11669,0.402
11670,0.742
11671,0.387
11672,0.629
11673,0.53
11674,0.754
11675,0.36
11676,0.342
11677,0.359
11678,0.676
11679,0.442
11680,0.583
11681,0.222
11682,0.369
11683,0.548
11684,0.391
11685,0.641
11686,0.702
11687,0.768
11688,0.35
11689,0.732
11690,0.514
11691,0.423
11692,0.36
11693,0.416
11694,0.707
11695,0.651
11696,0.33
11697,0.632
11698,0.356
11699,0.745
11700,0.441
11701,0.282
11702,0.327
11703,0.412
11704,0.371
11705,0.275
11706,0.474
11707,0.418
11708,0.189
11709,0.347
11710,0.775
11711,0.363
11712,0.497
11713,0.243
11714,0.615
11715,0.397
11716,0.747
11717,0.51
11718,0.403
11719,0.372
11720,0.274
11721,0.316
11722,0.717
11723,0.298
11724,0.667
11725,0.336
11726,0.565
11727,0.39
11728,0.417
11729,0.319
11730,0.808
11731,0.306
11732,0.43
11733,0.46
11734,0.316
11735,0.364
11736,0.653
11737,0.471
11738,0.259
11739,0.46
11740,0.693
11741,0.785
11742,0.369
11743,0.673
11744,0.373
11745,0.333
11746,0.439
11747,0.561
11748,0.414
11749,0.605
11750,0.347
11751,0.25
11752,0.651
11753,0.46
11754,0.205
11755,0.432
11756,0.406
11757,0.348
11758,0.837
11759,0.623
11760,0.603
11761,0.795
11762,0.297
11763,0.798
11764,0.631
11765,0.443
11766,0.681
11767,0.351
11768,0.798
11769,0.374
11770,0.472
11771,0.436
11772,0.709
11773,0.291
11774,0.394
11775,0.615
11776,0.426
11777,0.387
11778,0.436
11779,0.722
11780,0.363
11781,0.404
11782,0.363
11783,0.373
11784,0.583
11785,0.469
11786,0.266
11787,0.46
11788,0.603
11789,0.417
11790,0.705
11791,0.663
11792,0.336
11793,0.251
11794,0.763
11795,0.29
11796,0.693
11797,0.388
11798,0.412
11799,0.638
11800,0.51
11801,0.332
11802,0.742
11803,0.446
11804,0.415
11805,0.498
11806,0.456
11807,0.684
11808,0.699
11809,0.352
11810,0.26
11811,0.799
11812,0.372
11813,0.293
11814,0.438
11815,0.29
11816,0.566
11817,0.675
11818,0.736
11819,0.549
11820,0.584
11821,0.29
11822,0.37
11823,0.435
11824,0.54
11825,0.565
11826,0.346
11827,0.771
11828,0.718
11829,0.399
11830,0.259
11831,0.652
11832,0.478
11833,0.376
11834,0.641
11835,0.327
11836,0.578
11837,0.682
11838,0.678
11839,0.385
11840,0.356
11841,0.29
11842,0.633
11843,0.379
11844,0.631
11845,0.283
11846,0.342
11847,0.815
11848,0.513
11849,0.345
11850,0.795
11851,0.701
11852,0.645
11853,0.379
11854,0.323
11855,0.289
11856,0.638
11857,0.353
11858,0.282
11859,0.734
11860,0.737
11861,0.592
11862,0.511
11863,0.715
11864,0.343
11865,0.66
11866,0.49
11867,0.379
11868,0.32
11869,0.432
11870,0.56
11871,0.276
11872,0.781
11873,0.403
11874,0.643
11875,0.333
11876,0.411
11877,0.303
11878,0.822
11879,0.555
11880,0.35
11881,0.411
11882,0.425
11883,0.653
11884,0.372
11885,0.664
11886,0.292
11887,0.38
11888,0.379
11889,0.321
11890,0.603
11891,0.512
11892,0.501
11893,0.469
11894,0.376
11895,0.334
11896,0.716
11897,0.35
11898,0.366
11899,0.385
11900,0.32
11901,0.346
11902,0.307
11903,0.345
11904,0.63
11905,0.334
11906,0.282
11907,0.332
11908,0.31
11909,0.574
11910,0.608
11911,0.698
11912,0.407
11913,0.804
11914,0.385
11915,0.317
11916,0.329
11917,0.678
11918,0.26
11919,0.338
11920,0.474
11921,0.27
11922,0.37
11923,0.324
11924,0.441
11925,0.427
11926,0.647
11927,0.382
11928,0.731
11929,0.635
11930,0.786
11931,0.676
11932,0.325
11933,0.244
11934,0.413
11935,0.691
11936,0.43
11937,0.468
11938,0.494
11939,0.729
11940,0.73
11941,0.29
11942,0.289
11943,0.558
11944,0.244
11945,0.52
11946,0.384
11947,0.414
11948,0.513
11949,0.746
11950,0.568
11951,0.439
11952,0.401
11953,0.723
11954,0.326
11955,0.668
11956,0.614
11957,0.244
11958,0.708
11959,0.73
11960,0.345
11961,0.319
11962,0.606
11963,0.715
11964,0.724
11965,0.88
11966,0.605
11967,0.769
11968,0.432
11969,0.37
11970,0.345
11971,0.537
11972,0.719
11973,0.67
11974,0.273
11975,0.304
11976,0.459
11977,0.658
11978,0.31
11979,0.369
11980,0.708
11981,0.305
11982,0.287
11983,0.373
11984,0.608
11985,0.782
11986,0.366
11987,0.487
11988,0.375
11989,0.236
11990,0.593
11991,0.602
11992,0.52
11993,0.36
11994,0.404
11995,0.703
11996,0.68
11997,0.428
